Vegetable Common Name ,Disease Name (Type),Treatment Methods
Chilli,Chilli Thrips (Insect),Major Issue in Andhra/Telangana. Leaves curl upwards (boat shape) and become brittle. The plant looks stunted. Treatment: This is distinct from mite damage (downward curl). Use Blue sticky traps. Spray Spinosad or Neem-based formulations. Mulch with silver plastic sheets to reflect light and repel thrips.
Chilli,Damping Off (Fungal),"Occurs in the nursery. Young seedlings rot at the soil line and fall over (""damp off"") in patches. Treatment: This happens due to overcrowding and excess moisture. Treat seeds with Trichoderma before sowing. Raise the nursery bed to improve drainage. Do not overwater the seedlings."
Chilli,Anthracnose / Fruit Rot (Fungal),"Circular, sunken spots on ripe red fruits. Treatment: Use disease-free seeds. Remove infected fruits. Spray copper oxychloride."
Chilli,Cercospora Leaf Spot (Fungal),"""Frog eye"" spots (brown with grey center) on leaves. Treatment: Remove infected leaves. Spray Mancozeb or copper fungicide."
Chilli,Anthracnose / Fruit Rot (Fungal Infection),"Round, sunken spots on ripe red fruits that turn black or grey. The fruit dries up and shrivels. Spray Carbendazim or Mancozeb. Harvest fruits as soon as they ripen. Remove and burn infected fruits."
Chilli,Fruit Borer (Insect Infestation),Larvae bore holes into the pods and eat the seeds. The pod rots or drops. Install pheromone traps. Spray Spinosad or Indoxacarb. Handpick damaged fruits.
Chilli,Blossom End Rot (Calcium Deficiency),"The bottom tip of the chilli turns dark, sunken, and leathery. Maintain consistent watering to help calcium uptake. Spray Calcium Chloride. Mulch the soil."
Chilli,Bacterial Spot (Bacterial Infection),"Small, raised, scab-like spots appear on the fruit skin. Spray Copper Oxychloride mixed with Streptocycline. Avoid overhead watering. Use disease-free seeds."
Chilli,Chilli Leaf Curl (Viral Infection),"Leaves curl upward; plants stunt; fruits are tiny, deformed, and few. Control whiteflies and thrips with sticky traps and Neem oil. Remove infected plants immediately. Use resistant varieties."
Chilli,Sunscald (Physiological),"White, papery patches appear on the side of the fruit facing the sun. Not a disease. Maintain good leaf canopy to shade the fruit. Do not defoliate heavily."
Chilli,Grey Mold / Botrytis (Fungal Infection),"A grey, fuzzy mold covers the fruit, causing soft rot, usually in cool, wet weather. Improve spacing for airflow. Remove rotting fruit. Spray Chlorothalonil if severe."
Chinese Potato,Root Knot Nematode (Parasitic Worm),Major Pest in Kerala. Plants look stunted and yellow. Tubers have wart-like bumps or galls. Treatment: Rotate crops; do not plant tubers in the same spot every year. Plant marigolds in the bed 2 months before planting (marigold roots repel nematodes). Treat seed tubers with hot water (45°C) for 20 minutes before planting.
Chinese Potato,Leaf Folder (Insect Larvae),Caterpillars fold the leaves and feed inside. Treatment: Handpick and crush the folded leaves. Spray neem oil if infestation is severe.
Chinese Potato,Leaf Blight (Fungal),"Brown spots with concentric rings appear on leaves, causing them to dry up and fall, which reduces tuber size. Treatment: Spray Mancozeb (2g/liter) if the infection is severe. Remove the lower infected leaves. Avoid overhead watering in the evening."
Chinese Potato,Root-Knot Nematode (Parasitic Infection),"The tubers become deformed with galls and bumps, reducing market value. Solarize soil before planting. Rotate with marigolds. Use healthy seed tubers."
Chinese Potato,Tuber Rot (Bacterial/Fungal),Tubers turn soft and mushy in the soil or storage. Avoid waterlogging. Harvest when soil is dry. Cure tubers in shade before storage. Discard damaged ones.
Chinese Potato,Fusarium Dry Rot (Fungal Infection),"Tubers shrivel and develop dry, powdery rot internally. Treat seed tubers with Trichoderma before planting. Store in well-ventilated areas. Avoid bruising during harvest."
Chinese Potato,Sclerotium Rot (Fungal Infection),White cottony growth on the tuber surface with mustard-like seeds (sclerotia). Deep ploughing. Apply Neem cake to soil. Remove infected soil patches.
Chinese Potato,Leaf Blight (Fungal Infection),"Brown spots on leaves reduce photosynthesis, leading to very small tubers. Spray Mancozeb. Remove infected leaves."
Chinese Potato,Mealybugs (Insect Infestation),White powdery bugs attack the tubers in loose soil or storage. Treat seed tubers with Dimethoate (if not organic) or Neem oil before planting. Keep storage area clean.
Chinese Potato,Mosaic Virus (Viral Infection),Mottled leaves and stunted growth lead to poor tuber yield. Use virus-free planting material. Control aphids. Remove infected plants.
Cluster Bean,Powdery Mildew (Fungal),"White dusty coating on leaves and pods. Leaves turn yellow and drop. Treatment: Prune to reduce density. Spray wettable sulphur (2g per liter). This usually occurs in dry, cool weather."
Cluster Bean,Alternaria Leaf Spot (Fungal),"Dark brown, irregular spots with concentric rings appear on leaves. Leaves fall off, reducing pod yield. Treatment: This spreads in humid weather. Spray Mancozeb or a Copper fungicide. Keep the field free of weeds. Ensure proper spacing between plants."
Cluster Bean,Bacterial Blight (Bacterial Infection),"This causes large, irregular brown spots on leaves that spread to the pods, causing them to crack and rot. To stop it, start by using certified disease-free seeds or soaking seeds in hot water (50°C for 30 minutes) before planting. If spots appear, spray a copper-based fungicide or Streptocycline immediately. Remove and burn any infected plants to prevent the bacteria from overwintering in the soil. Avoid sprinkler irrigation to keep the foliage dry."
Cluster Bean,Alternaria Blight (Fungal Infection),"You will see dark brown, concentric rings or spots on the pods, which can cause them to rot during humid weather. To treat, improve air circulation by spacing plants properly. Spray Mancozeb or Zineb at the first sign of infection and repeat every 15 days. Clean up fallen debris after harvest. If the weather is consistently wet, apply a prophylactic spray of neem oil to create a protective barrier on the developing pods."
Cluster Bean,Powdery Mildew (Fungal Infection),"This appears as a white, powdery dusting on the leaves and pods, often causing the beans to become deformed or stunted. It thrives in warm, dry days with cool nights. Dust the plants with fine sulfur powder or spray wettable sulfur (2g per liter) to clear the infection. For a home remedy, spray a solution of baking soda and water (1 tsp per liter) weekly. Ensure the plants get plenty of sunlight to inhibit fungal growth."
Cluster Bean,Anthracnose (Fungal Infection),"This infection creates black, sunken, circular spots on the pods, often with a pinkish center. It ruins the quality of the vegetable. To manage it, spray Carbendazim or a copper fungicide during the flowering stage. Remove any weeds around the field that might host the fungus. After harvest, plow the field deeply to bury fungal spores. Always rotate your crop with non-legumes like cereals to break the disease cycle."
Cluster Bean,Pod Borer (Insect Infestation),"Larvae bore round holes into the pods and feed on the developing seeds, making them unfit for consumption. Handpick and destroy any caterpillars you see on the leaves. Install pheromone traps to catch adult moths. Spray a biological control agent like Bacillus thuringiensis (Bt) or Neem oil early in the evening. In severe cases, use Indoxacarb but observe the safety waiting period before harvesting the beans for food."
Colocasia,Dasheen Mosaic Virus (Viral),"Leaves show feathery, light green or yellow patterns between the veins. Tubers are small and misshapen. Treatment: Use only healthy tubers from virus-free plants for planting. Sanitize the knife used to cut seed tubers. Control aphids (the carrier) with sticky traps."
Colocasia,Phytophthora Leaf Blight (Fungal Infection),"This is the most destructive disease, causing small, dark, water-soaked spots that rapidly expand into large purple-brown lesions with yellow halos. The leaf may rot entirely within days. Cut off and burn infected leaves immediately. Spray Mancozeb or Ridomil at 10-day intervals during the rainy season. improving drainage is critical; avoid water stagnation around the base. Plant resistant varieties if available in your region to avoid heavy losses."
Colocasia,Dasheen Mosaic Virus (Viral Infection),"This virus causes feather-like yellow or light green mosaic patterns between leaf veins and distorts the leaf shape. The leaves become smaller and deformed. There is no cure; you must dig up and destroy infected plants to stop the spread. Since aphids transmit this virus, control them using insecticidal soap or sticky traps. Always use virus-free suckers or corms for new plantings and clean your machete with bleach between plants."
Colocasia,Cladosporium Leaf Spot (Fungal Infection),"Look for reddish-brown spots on the older leaves which eventually fall out, leaving ""shot holes."" It is common in high humidity but less severe than blight. To treat, simply remove the older, infected leaves to improve airflow. If the infection spreads to younger leaves, spray a copper-based fungicide. Avoid overhead watering, as splashing water spreads the spores from leaf to leaf. Keep the area weed-free to reduce humidity."
Colocasia,Aphid Infestation (Insect Infestation),"Colonies of small insects cluster on the undersides of leaves, sucking sap and causing curling or yellowing. They also leave sticky honeydew that attracts black sooty mold. Wash them off with a strong jet of water. Spray a solution of neem oil or insecticidal soap every 5 days until they are gone. Introducing natural predators like ladybugs can help. Treat ants if you see them, as they protect aphids from predators."
Colocasia,Spider Mites (Arachnid Infestation),"These tiny pests cause yellow or white speckling on the leaves, giving them a dusty or bronze appearance. You may see fine webbing on the undersides. They thrive in hot, dry weather. Mist the leaves regularly to increase humidity, which mites dislike. Spray wettable sulfur or a garlic-pepper tea to repel them. heavily infested leaves should be pruned and removed from the garden immediately."
Colocasia Tuber,Phytophthora Blight (Fungal),"Small, round, dark brown spots appear on leaves, which rapidly expand. The underground tubers may rot. Treatment: Use disease-free seed tubers. Improve drainage to prevent water stagnation. Remove infected leaves immediately. Spray a copper-based fungicide (like Bordeaux mixture) during the rainy season to protect the crop."
